"2023-05-10 00:19:56,592 [INFO] Reporter Initialized!
"2023-05-10 00:19:56,593 [INFO] Reporter LEVEL: info
"2023-05-10 00:19:56,595 [INFO] Usung random data
"2023-05-10 00:19:56,717 [INFO] None
"2023-05-10 00:19:56,717 [INFO] Device(cpu) is working for train
"2023-05-10 00:19:56,718 [INFO] Train Started
"2023-05-10 00:19:57,590 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/0.onnx
"2023-05-10 00:19:57,591 [INFO] ===== Saved non-trained network
"2023-05-10 00:20:30,434 [INFO] EPISODE 1110, LOSS 0.1900222897529602
"2023-05-10 00:20:30,708 [INFO] EPISODE 1120, LOSS 0.15401044487953186
"2023-05-10 00:20:30,958 [INFO] EPISODE 1130, LOSS 0.178395077586174
"2023-05-10 00:20:31,332 [INFO] EPISODE 1140, LOSS 0.21291299164295197
"2023-05-10 00:20:31,586 [INFO] EPISODE 1150, LOSS 0.3199252188205719
"2023-05-10 00:20:31,847 [INFO] EPISODE 1160, LOSS 0.2136414647102356
"2023-05-10 00:20:32,111 [INFO] EPISODE 1170, LOSS 0.18670451641082764
"2023-05-10 00:20:32,373 [INFO] EPISODE 1180, LOSS 0.16919709742069244
"2023-05-10 00:20:32,648 [INFO] EPISODE 1190, LOSS 0.350401371717453
"2023-05-10 00:20:32,908 [INFO] EPISODE 1200, LOSS 0.07934238761663437
"2023-05-10 00:20:33,181 [INFO] EPISODE 1210, LOSS 0.09370825439691544
"2023-05-10 00:20:33,435 [INFO] EPISODE 1220, LOSS 0.19315801560878754
"2023-05-10 00:20:33,757 [INFO] EPISODE 1230, LOSS 0.10805848985910416
"2023-05-10 00:20:34,020 [INFO] EPISODE 1240, LOSS 0.16005642712116241
"2023-05-10 00:20:34,287 [INFO] EPISODE 1250, LOSS 0.1843688040971756
"2023-05-10 00:20:34,542 [INFO] EPISODE 1260, LOSS 0.11676251143217087
"2023-05-10 00:20:34,804 [INFO] EPISODE 1270, LOSS 0.2623886168003082
"2023-05-10 00:20:35,061 [INFO] EPISODE 1280, LOSS 0.13957981765270233
"2023-05-10 00:20:35,326 [INFO] EPISODE 1290, LOSS 0.18089182674884796
"2023-05-10 00:20:35,579 [INFO] EPISODE 1300, LOSS 0.14477938413619995
"2023-05-10 00:20:35,841 [INFO] EPISODE 1310, LOSS 0.2700282633304596
"2023-05-10 00:20:36,100 [INFO] EPISODE 1320, LOSS 0.1564469188451767
"2023-05-10 00:20:36,359 [INFO] EPISODE 1330, LOSS 0.20634859800338745
"2023-05-10 00:20:36,621 [INFO] EPISODE 1340, LOSS 0.31659170985221863
"2023-05-10 00:20:36,882 [INFO] EPISODE 1350, LOSS 0.17704583704471588
"2023-05-10 00:20:37,235 [INFO] EPISODE 1360, LOSS 0.1777195930480957
"2023-05-10 00:20:37,494 [INFO] EPISODE 1370, LOSS 0.1478491574525833
"2023-05-10 00:20:37,782 [INFO] EPISODE 1380, LOSS 0.15935136377811432
"2023-05-10 00:20:38,052 [INFO] EPISODE 1390, LOSS 0.18221841752529144
"2023-05-10 00:20:38,320 [INFO] EPISODE 1400, LOSS 0.16438065469264984
"2023-05-10 00:20:38,575 [INFO] EPISODE 1410, LOSS 0.09171339869499207
"2023-05-10 00:20:38,836 [INFO] EPISODE 1420, LOSS 0.09159626811742783
"2023-05-10 00:20:39,102 [INFO] EPISODE 1430, LOSS 0.13407954573631287
"2023-05-10 00:20:39,365 [INFO] EPISODE 1440, LOSS 0.14393343031406403
"2023-05-10 00:20:39,632 [INFO] EPISODE 1450, LOSS 0.21191668510437012
"2023-05-10 00:20:39,891 [INFO] EPISODE 1460, LOSS 0.15346573293209076
"2023-05-10 00:20:40,161 [INFO] EPISODE 1470, LOSS 0.11201208829879761
"2023-05-10 00:20:40,423 [INFO] EPISODE 1480, LOSS 0.16381478309631348
"2023-05-10 00:20:40,689 [INFO] EPISODE 1490, LOSS 0.13170970976352692
"2023-05-10 00:20:40,948 [INFO] EPISODE 1500, LOSS 0.13754071295261383
"2023-05-10 00:20:41,216 [INFO] EPISODE 1510, LOSS 0.11951043456792831
"2023-05-10 00:20:41,476 [INFO] EPISODE 1520, LOSS 0.1827601045370102
"2023-05-10 00:20:41,739 [INFO] EPISODE 1530, LOSS 0.17802391946315765
"2023-05-10 00:20:42,002 [INFO] EPISODE 1540, LOSS 0.22511368989944458
"2023-05-10 00:20:42,271 [INFO] EPISODE 1550, LOSS 0.23815099895000458
"2023-05-10 00:20:42,533 [INFO] EPISODE 1560, LOSS 0.10577108711004257
"2023-05-10 00:20:42,924 [INFO] EPISODE 1570, LOSS 0.15281887352466583
"2023-05-10 00:20:43,197 [INFO] EPISODE 1580, LOSS 0.11237853020429611
"2023-05-10 00:20:43,458 [INFO] EPISODE 1590, LOSS 0.18586979806423187
"2023-05-10 00:20:43,725 [INFO] EPISODE 1600, LOSS 0.08405613154172897
"2023-05-10 00:20:43,990 [INFO] EPISODE 1610, LOSS 0.09410593658685684
"2023-05-10 00:20:44,258 [INFO] EPISODE 1620, LOSS 0.1345965713262558
"2023-05-10 00:20:44,521 [INFO] EPISODE 1630, LOSS 0.17570453882217407
"2023-05-10 00:20:44,796 [INFO] EPISODE 1640, LOSS 0.2047949582338333
