"2023-05-08 15:39:47,303 [INFO] Reporter Initialized!
"2023-05-08 15:39:47,303 [INFO] Reporter LEVEL: info
"2023-05-08 15:39:47,687 [INFO] Loaded csv data is 0507_0746PM
"2023-05-08 15:39:49,171 [INFO] None
"2023-05-08 15:39:49,171 [INFO] Device(cuda) is working for train
"2023-05-08 15:39:49,171 [INFO] Train Started
"2023-05-08 15:42:47,560 [INFO] EPISODE 2210, LOSS 0.34582945704460144
"2023-05-08 15:42:48,412 [INFO] EPISODE 2220, LOSS 1.5003526210784912
"2023-05-08 15:42:49,191 [INFO] EPISODE 2230, LOSS 3.2435402870178223
"2023-05-08 15:42:50,059 [INFO] EPISODE 2240, LOSS 2.828357219696045
"2023-05-08 15:42:50,839 [INFO] EPISODE 2250, LOSS 0.7082732915878296
"2023-05-08 15:42:51,693 [INFO] EPISODE 2260, LOSS 0.8714630007743835
"2023-05-08 15:42:52,498 [INFO] EPISODE 2270, LOSS 0.4697098135948181
"2023-05-08 15:42:53,274 [INFO] EPISODE 2280, LOSS 0.3983560800552368
"2023-05-08 15:42:54,060 [INFO] EPISODE 2290, LOSS 0.429055780172348
"2023-05-08 15:42:54,462 [INFO] ===== ONNX SAVED at ./savemodel/0508_0339PM/2294.onnx
"2023-05-08 15:42:54,952 [INFO] EPISODE 2300, LOSS 0.14339056611061096
"2023-05-08 15:42:55,759 [INFO] EPISODE 2310, LOSS 0.21474331617355347
"2023-05-08 15:42:56,562 [INFO] EPISODE 2320, LOSS 0.22968624532222748
"2023-05-08 15:42:57,351 [INFO] EPISODE 2330, LOSS 0.42675918340682983
"2023-05-08 15:42:58,173 [INFO] EPISODE 2340, LOSS 0.32458630204200745
"2023-05-08 15:42:59,034 [INFO] EPISODE 2350, LOSS 2.2585253715515137
"2023-05-08 15:42:59,829 [INFO] EPISODE 2360, LOSS 0.18670055270195007
"2023-05-08 15:43:00,636 [INFO] EPISODE 2370, LOSS 1.6994742155075073
"2023-05-08 15:43:01,427 [INFO] EPISODE 2380, LOSS 1.6388729810714722
"2023-05-08 15:43:02,243 [INFO] EPISODE 2390, LOSS 0.5529404878616333
"2023-05-08 15:43:03,039 [INFO] EPISODE 2400, LOSS 0.09179981052875519
"2023-05-08 15:43:03,858 [INFO] EPISODE 2410, LOSS 0.7065187692642212
"2023-05-08 15:43:04,663 [INFO] EPISODE 2420, LOSS 2.2095484733581543
"2023-05-08 15:43:05,551 [INFO] EPISODE 2430, LOSS 0.3705764412879944
"2023-05-08 15:43:06,339 [INFO] EPISODE 2440, LOSS 0.1309635490179062
"2023-05-08 15:43:07,071 [INFO] EPISODE 2450, LOSS 0.4490587115287781
"2023-05-08 15:43:07,801 [INFO] EPISODE 2460, LOSS 0.27997973561286926
"2023-05-08 15:43:08,578 [INFO] EPISODE 2470, LOSS 0.4615478515625
"2023-05-08 15:43:09,344 [INFO] EPISODE 2480, LOSS 0.19154787063598633
"2023-05-08 15:43:10,159 [INFO] EPISODE 2490, LOSS 0.13194245100021362
"2023-05-08 15:43:10,952 [INFO] EPISODE 2500, LOSS 0.3424158990383148
"2023-05-08 15:43:11,745 [INFO] EPISODE 2510, LOSS 1.0925781726837158
"2023-05-08 15:43:12,496 [INFO] EPISODE 2520, LOSS 0.3982473611831665
"2023-05-08 15:43:13,252 [INFO] EPISODE 2530, LOSS 0.47986432909965515
"2023-05-08 15:43:14,059 [INFO] EPISODE 2540, LOSS 0.4553280472755432
"2023-05-08 15:43:14,828 [INFO] EPISODE 2550, LOSS 1.483522891998291
"2023-05-08 15:43:15,611 [INFO] EPISODE 2560, LOSS 1.9446582794189453
"2023-05-08 15:43:16,474 [INFO] EPISODE 2570, LOSS 0.6936187744140625
"2023-05-08 15:43:17,265 [INFO] EPISODE 2580, LOSS 0.17995145916938782
"2023-05-08 15:43:18,099 [INFO] EPISODE 2590, LOSS 0.6076352596282959
"2023-05-08 15:43:18,858 [INFO] EPISODE 2600, LOSS 0.6430768966674805
"2023-05-08 15:43:19,654 [INFO] EPISODE 2610, LOSS 0.47633096575737
"2023-05-08 15:43:20,410 [INFO] EPISODE 2620, LOSS 0.9978598356246948
"2023-05-08 15:43:21,161 [INFO] EPISODE 2630, LOSS 0.8348656892776489
"2023-05-08 15:43:21,895 [INFO] EPISODE 2640, LOSS 0.12233756482601166
"2023-05-08 15:43:22,645 [INFO] EPISODE 2650, LOSS 0.3069570064544678
"2023-05-08 15:43:23,380 [INFO] EPISODE 2660, LOSS 0.36285024881362915
"2023-05-08 15:43:24,145 [INFO] EPISODE 2670, LOSS 0.3487928807735443
"2023-05-08 15:43:24,976 [INFO] EPISODE 2680, LOSS 0.5540310144424438
"2023-05-08 15:43:25,792 [INFO] EPISODE 2690, LOSS 0.26082587242126465
"2023-05-08 15:43:26,534 [INFO] EPISODE 2700, LOSS 0.34791165590286255
"2023-05-08 15:43:27,258 [INFO] EPISODE 2710, LOSS 1.6099828481674194
"2023-05-08 15:43:27,972 [INFO] EPISODE 2720, LOSS 0.32197922468185425
"2023-05-08 15:43:28,695 [INFO] EPISODE 2730, LOSS 0.21368342638015747
"2023-05-08 15:43:29,420 [INFO] EPISODE 2740, LOSS 0.35434168577194214
"2023-05-08 15:43:30,228 [INFO] EPISODE 2750, LOSS 0.18432235717773438
"2023-05-08 15:43:30,964 [INFO] EPISODE 2760, LOSS 0.3885374963283539
"2023-05-08 15:43:31,679 [INFO] EPISODE 2770, LOSS 0.7305195331573486
"2023-05-08 15:43:32,462 [INFO] EPISODE 2780, LOSS 0.7789084315299988
"2023-05-08 15:43:33,259 [INFO] EPISODE 2790, LOSS 0.24370436370372772
"2023-05-08 15:43:34,006 [INFO] EPISODE 2800, LOSS 0.23283962905406952
"2023-05-08 15:43:34,730 [INFO] EPISODE 2810, LOSS 0.47393035888671875
