"2023-05-10 14:38:18,556 [INFO] Reporter Initialized!
"2023-05-10 14:38:18,557 [INFO] Reporter LEVEL: info
"2023-05-10 14:38:18,557 [INFO] Usung random data
"2023-05-10 14:38:19,764 [INFO] None
"2023-05-10 14:38:19,764 [INFO] Device(cuda) is working for train
"2023-05-10 14:38:19,764 [INFO] Train Started
"2023-05-10 14:38:19,784 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/0.onnx
"2023-05-10 14:38:19,784 [INFO] ===== Saved non-trained network
"2023-05-10 14:38:36,100 [INFO] EPISODE 1130, LOSS 0.28867122530937195
"2023-05-10 14:38:36,238 [INFO] EPISODE 1140, LOSS 0.2328248918056488
"2023-05-10 14:38:36,378 [INFO] EPISODE 1150, LOSS 0.07267914712429047
"2023-05-10 14:38:36,529 [INFO] EPISODE 1160, LOSS 0.33838003873825073
"2023-05-10 14:38:36,666 [INFO] EPISODE 1170, LOSS 0.16476738452911377
"2023-05-10 14:38:36,807 [INFO] EPISODE 1180, LOSS 0.12661144137382507
"2023-05-10 14:38:36,949 [INFO] EPISODE 1190, LOSS 0.0883931964635849
"2023-05-10 14:38:37,081 [INFO] EPISODE 1200, LOSS 0.16265004873275757
"2023-05-10 14:38:37,219 [INFO] EPISODE 1210, LOSS 0.14749114215373993
"2023-05-10 14:38:37,351 [INFO] EPISODE 1220, LOSS 0.14289814233779907
"2023-05-10 14:38:37,487 [INFO] EPISODE 1230, LOSS 0.18497024476528168
"2023-05-10 14:38:37,626 [INFO] EPISODE 1240, LOSS 0.17187771201133728
"2023-05-10 14:38:37,776 [INFO] EPISODE 1250, LOSS 0.15785565972328186
"2023-05-10 14:38:37,970 [INFO] EPISODE 1260, LOSS 0.13825660943984985
"2023-05-10 14:38:38,109 [INFO] EPISODE 1270, LOSS 0.13302569091320038
"2023-05-10 14:38:38,235 [INFO] EPISODE 1280, LOSS 0.20479647815227509
"2023-05-10 14:38:38,378 [INFO] EPISODE 1290, LOSS 0.12173911184072495
"2023-05-10 14:38:38,503 [INFO] EPISODE 1300, LOSS 0.09543901681900024
"2023-05-10 14:38:38,639 [INFO] EPISODE 1310, LOSS 0.3493588864803314
"2023-05-10 14:38:38,781 [INFO] EPISODE 1320, LOSS 0.20654761791229248
"2023-05-10 14:38:38,924 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/1329.onnx
"2023-05-10 14:38:38,932 [INFO] EPISODE 1330, LOSS 0.12244240939617157
"2023-05-10 14:38:39,070 [INFO] EPISODE 1340, LOSS 0.1452132761478424
"2023-05-10 14:38:39,196 [INFO] EPISODE 1350, LOSS 0.2599653899669647
"2023-05-10 14:38:39,318 [INFO] EPISODE 1360, LOSS 0.18909183144569397
"2023-05-10 14:38:39,441 [INFO] EPISODE 1370, LOSS 0.2554644048213959
"2023-05-10 14:38:39,574 [INFO] EPISODE 1380, LOSS 0.3165489137172699
"2023-05-10 14:38:39,714 [INFO] EPISODE 1390, LOSS 0.17001274228096008
"2023-05-10 14:38:39,857 [INFO] EPISODE 1400, LOSS 0.153228759765625
"2023-05-10 14:38:39,990 [INFO] EPISODE 1410, LOSS 0.11600838601589203
"2023-05-10 14:38:40,131 [INFO] EPISODE 1420, LOSS 0.14676271378993988
"2023-05-10 14:38:40,267 [INFO] EPISODE 1430, LOSS 0.22614304721355438
"2023-05-10 14:38:40,407 [INFO] EPISODE 1440, LOSS 0.15576665103435516
"2023-05-10 14:38:40,550 [INFO] EPISODE 1450, LOSS 0.15655355155467987
"2023-05-10 14:38:40,694 [INFO] EPISODE 1460, LOSS 0.10822910070419312
"2023-05-10 14:38:40,830 [INFO] EPISODE 1470, LOSS 0.10877867043018341
"2023-05-10 14:38:40,952 [INFO] EPISODE 1480, LOSS 0.12604840099811554
"2023-05-10 14:38:41,146 [INFO] EPISODE 1490, LOSS 0.14505866169929504
"2023-05-10 14:38:41,289 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/1500.onnx
"2023-05-10 14:38:41,289 [INFO] EPISODE 1500, LOSS 0.2375963032245636
"2023-05-10 14:38:41,424 [INFO] EPISODE 1510, LOSS 0.21805433928966522
"2023-05-10 14:38:41,565 [INFO] EPISODE 1520, LOSS 0.13259947299957275
"2023-05-10 14:38:41,705 [INFO] EPISODE 1530, LOSS 0.21345922350883484
"2023-05-10 14:38:41,844 [INFO] EPISODE 1540, LOSS 0.12285219132900238
"2023-05-10 14:38:41,979 [INFO] EPISODE 1550, LOSS 0.22525028884410858
"2023-05-10 14:38:42,120 [INFO] EPISODE 1560, LOSS 0.17451661825180054
"2023-05-10 14:38:42,261 [INFO] EPISODE 1570, LOSS 0.18450044095516205
"2023-05-10 14:38:42,398 [INFO] EPISODE 1580, LOSS 0.2549070715904236
"2023-05-10 14:38:42,533 [INFO] EPISODE 1590, LOSS 0.2023836374282837
"2023-05-10 14:38:42,670 [INFO] EPISODE 1600, LOSS 0.15495234727859497
"2023-05-10 14:38:42,804 [INFO] EPISODE 1610, LOSS 0.167427659034729
"2023-05-10 14:38:42,935 [INFO] EPISODE 1620, LOSS 0.1876564472913742
"2023-05-10 14:38:43,068 [INFO] EPISODE 1630, LOSS 0.15111765265464783
"2023-05-10 14:38:43,206 [INFO] EPISODE 1640, LOSS 0.19288921356201172
"2023-05-10 14:38:43,347 [INFO] EPISODE 1650, LOSS 0.096344493329525
"2023-05-10 14:38:43,483 [INFO] EPISODE 1660, LOSS 0.26762714982032776
"2023-05-10 14:38:43,675 [INFO] EPISODE 1670, LOSS 0.16539521515369415
"2023-05-10 14:38:43,810 [INFO] EPISODE 1680, LOSS 0.26420122385025024
"2023-05-10 14:38:43,948 [INFO] EPISODE 1690, LOSS 0.14737486839294434
"2023-05-10 14:38:44,089 [INFO] EPISODE 1700, LOSS 0.16326653957366943
"2023-05-10 14:38:44,178 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/1703.onnx
"2023-05-10 14:38:44,237 [INFO] EPISODE 1710, LOSS 0.09776973724365234
"2023-05-10 14:38:44,371 [INFO] EPISODE 1720, LOSS 0.10003143548965454
"2023-05-10 14:38:44,504 [INFO] EPISODE 1730, LOSS 0.32049810886383057
"2023-05-10 14:38:44,641 [INFO] EPISODE 1740, LOSS 0.16138017177581787
"2023-05-10 14:38:44,785 [INFO] EPISODE 1750, LOSS 0.17232823371887207
"2023-05-10 14:38:44,920 [INFO] EPISODE 1760, LOSS 0.17374131083488464
"2023-05-10 14:38:45,059 [INFO] EPISODE 1770, LOSS 0.2185339778661728
"2023-05-10 14:38:45,197 [INFO] EPISODE 1780, LOSS 0.11048191785812378
"2023-05-10 14:38:45,339 [INFO] EPISODE 1790, LOSS 0.1532820463180542
"2023-05-10 14:38:45,465 [INFO] EPISODE 1800, LOSS 0.11789672076702118
"2023-05-10 14:38:45,590 [INFO] EPISODE 1810, LOSS 0.17804628610610962
"2023-05-10 14:38:45,727 [INFO] EPISODE 1820, LOSS 0.19048386812210083
"2023-05-10 14:38:45,872 [INFO] EPISODE 1830, LOSS 0.2587932348251343
"2023-05-10 14:38:46,009 [INFO] EPISODE 1840, LOSS 0.3824826180934906
"2023-05-10 14:38:46,149 [INFO] EPISODE 1850, LOSS 0.16235961019992828
"2023-05-10 14:38:46,286 [INFO] EPISODE 1860, LOSS 0.3499462604522705
"2023-05-10 14:38:46,428 [INFO] EPISODE 1870, LOSS 0.16991667449474335
"2023-05-10 14:38:46,614 [INFO] EPISODE 1880, LOSS 0.07843363285064697
"2023-05-10 14:38:46,760 [INFO] EPISODE 1890, LOSS 0.18717098236083984
"2023-05-10 14:38:46,906 [INFO] EPISODE 1900, LOSS 0.13358303904533386
"2023-05-10 14:38:47,034 [INFO] EPISODE 1910, LOSS 0.10584403574466705
