"2023-05-04 21:10:55,529 [INFO] Reporter Initialized!
"2023-05-04 21:10:55,529 [INFO] Reporter LEVEL: info
"2023-05-04 21:10:57,349 [INFO] Loaded csv data is 0504_0300PM
"2023-05-04 21:10:58,388 [INFO] None
"2023-05-04 21:10:58,389 [INFO] Device(cuda) is working for train
"2023-05-04 21:10:58,389 [INFO] Train Started
"2023-05-04 21:10:58,404 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/0.onnx
"2023-05-04 21:10:58,404 [INFO] ===== Saved non-trained network
"2023-05-04 21:11:48,293 [INFO] EPISODE 1540, LOSS 0.006195921450853348
"2023-05-04 21:11:48,587 [INFO] EPISODE 1550, LOSS 0.008696440607309341
"2023-05-04 21:11:48,881 [INFO] EPISODE 1560, LOSS 0.006514197215437889
"2023-05-04 21:11:49,226 [INFO] EPISODE 1570, LOSS 0.005709614604711533
"2023-05-04 21:11:49,517 [INFO] EPISODE 1580, LOSS 0.00856814719736576
"2023-05-04 21:11:49,818 [INFO] EPISODE 1590, LOSS 0.0031990071292966604
"2023-05-04 21:11:50,115 [INFO] EPISODE 1600, LOSS 0.007136268075555563
"2023-05-04 21:11:50,445 [INFO] EPISODE 1610, LOSS 0.0045504504814744
"2023-05-04 21:11:50,736 [INFO] EPISODE 1620, LOSS 0.0093699861317873
"2023-05-04 21:11:51,038 [INFO] EPISODE 1630, LOSS 0.003454914316534996
"2023-05-04 21:11:51,354 [INFO] EPISODE 1640, LOSS 0.0022207489237189293
"2023-05-04 21:11:51,652 [INFO] EPISODE 1650, LOSS 0.002573976758867502
"2023-05-04 21:11:51,949 [INFO] EPISODE 1660, LOSS 0.0032903682440519333
"2023-05-04 21:11:52,254 [INFO] EPISODE 1670, LOSS 0.002745002508163452
"2023-05-04 21:11:52,635 [INFO] EPISODE 1680, LOSS 0.007572240196168423
"2023-05-04 21:11:52,927 [INFO] EPISODE 1690, LOSS 0.004822634160518646
"2023-05-04 21:11:53,217 [INFO] EPISODE 1700, LOSS 0.0035504205152392387
"2023-05-04 21:11:53,530 [INFO] EPISODE 1710, LOSS 0.017725534737110138
"2023-05-04 21:11:53,826 [INFO] EPISODE 1720, LOSS 0.005642847623676062
"2023-05-04 21:11:54,119 [INFO] EPISODE 1730, LOSS 0.0015183778014034033
"2023-05-04 21:11:54,415 [INFO] EPISODE 1740, LOSS 0.0059117600321769714
"2023-05-04 21:11:54,762 [INFO] EPISODE 1750, LOSS 0.0006520514143630862
"2023-05-04 21:11:55,058 [INFO] EPISODE 1760, LOSS 0.003936595283448696
"2023-05-04 21:11:55,351 [INFO] EPISODE 1770, LOSS 0.034872427582740784
"2023-05-04 21:11:55,676 [INFO] EPISODE 1780, LOSS 0.0031553562730550766
"2023-05-04 21:11:55,973 [INFO] EPISODE 1790, LOSS 0.009149366989731789
"2023-05-04 21:11:56,264 [INFO] EPISODE 1800, LOSS 0.0028372518718242645
"2023-05-04 21:11:56,554 [INFO] EPISODE 1810, LOSS 0.002916159573942423
"2023-05-04 21:11:56,890 [INFO] EPISODE 1820, LOSS 0.012557927519083023
"2023-05-04 21:11:57,184 [INFO] EPISODE 1830, LOSS 0.018463902175426483
"2023-05-04 21:11:57,481 [INFO] EPISODE 1840, LOSS 0.0011453120969235897
"2023-05-04 21:11:57,801 [INFO] EPISODE 1850, LOSS 0.0016454297583550215
"2023-05-04 21:11:58,094 [INFO] EPISODE 1860, LOSS 0.0032007533591240644
"2023-05-04 21:11:58,387 [INFO] EPISODE 1870, LOSS 0.0037557415198534727
"2023-05-04 21:11:58,677 [INFO] EPISODE 1880, LOSS 0.06206931173801422
"2023-05-04 21:11:59,007 [INFO] EPISODE 1890, LOSS 0.0030216192826628685
"2023-05-04 21:11:59,299 [INFO] EPISODE 1900, LOSS 0.002615931909531355
"2023-05-04 21:11:59,651 [INFO] EPISODE 1910, LOSS 0.0034576160833239555
"2023-05-04 21:11:59,971 [INFO] EPISODE 1920, LOSS 0.014328425750136375
"2023-05-04 21:12:00,277 [INFO] EPISODE 1930, LOSS 0.0052261739037930965
"2023-05-04 21:12:00,571 [INFO] EPISODE 1940, LOSS 0.005895084701478481
"2023-05-04 21:12:00,885 [INFO] EPISODE 1950, LOSS 0.003143399953842163
"2023-05-04 21:12:01,178 [INFO] EPISODE 1960, LOSS 0.010150538757443428
"2023-05-04 21:12:01,473 [INFO] EPISODE 1970, LOSS 0.0010190692264586687
"2023-05-04 21:12:01,767 [INFO] EPISODE 1980, LOSS 0.029632119461894035
"2023-05-04 21:12:02,080 [INFO] EPISODE 1990, LOSS 0.008962806314229965
"2023-05-04 21:12:02,381 [INFO] ===== ONNX SAVED at ./savemodel/0504_0910PM/2000.onnx
"2023-05-04 21:12:02,381 [INFO] EPISODE 2000, LOSS 0.006651105359196663
"2023-05-04 21:12:02,676 [INFO] EPISODE 2010, LOSS 0.002606878988444805
"2023-05-04 21:12:03,029 [INFO] EPISODE 2020, LOSS 0.009022874757647514
"2023-05-04 21:12:03,324 [INFO] EPISODE 2030, LOSS 0.007344241254031658
"2023-05-04 21:12:03,616 [INFO] EPISODE 2040, LOSS 0.0047052050940692425
"2023-05-04 21:12:03,907 [INFO] EPISODE 2050, LOSS 0.005378269590437412
"2023-05-04 21:12:04,229 [INFO] EPISODE 2060, LOSS 0.0022995886392891407
"2023-05-04 21:12:04,526 [INFO] EPISODE 2070, LOSS 0.0035834796726703644
"2023-05-04 21:12:04,825 [INFO] EPISODE 2080, LOSS 0.008679164573550224
"2023-05-04 21:12:05,144 [INFO] EPISODE 2090, LOSS 0.0013734172098338604
"2023-05-04 21:12:05,499 [INFO] EPISODE 2100, LOSS 0.007055831607431173
"2023-05-04 21:12:05,789 [INFO] EPISODE 2110, LOSS 0.008021153509616852
"2023-05-04 21:12:06,081 [INFO] EPISODE 2120, LOSS 0.0029432610608637333
"2023-05-04 21:12:06,412 [INFO] EPISODE 2130, LOSS 0.0005913511849939823
"2023-05-04 21:12:06,703 [INFO] EPISODE 2140, LOSS 0.004101031459867954
"2023-05-04 21:12:06,997 [INFO] EPISODE 2150, LOSS 0.008141284808516502
"2023-05-04 21:12:07,316 [INFO] EPISODE 2160, LOSS 0.003489874070510268
"2023-05-04 21:12:07,609 [INFO] EPISODE 2170, LOSS 0.0020007987041026354
"2023-05-04 21:12:07,902 [INFO] EPISODE 2180, LOSS 0.0069729033857584
"2023-05-04 21:12:08,199 [INFO] EPISODE 2190, LOSS 0.007844525389373302
"2023-05-04 21:12:08,552 [INFO] EPISODE 2200, LOSS 0.0036236043088138103
"2023-05-04 21:12:08,849 [INFO] EPISODE 2210, LOSS 0.00105058285407722
"2023-05-04 21:12:09,146 [INFO] EPISODE 2220, LOSS 0.0064425235614180565
"2023-05-04 21:12:09,495 [INFO] EPISODE 2230, LOSS 0.011244401335716248
"2023-05-04 21:12:09,793 [INFO] EPISODE 2240, LOSS 0.004084821790456772
"2023-05-04 21:12:10,094 [INFO] EPISODE 2250, LOSS 0.0059602148830890656
"2023-05-04 21:12:10,389 [INFO] EPISODE 2260, LOSS 0.0017062602564692497
"2023-05-04 21:12:10,706 [INFO] EPISODE 2270, LOSS 0.002033376833423972
"2023-05-04 21:12:11,001 [INFO] EPISODE 2280, LOSS 0.006253773346543312
"2023-05-04 21:12:11,297 [INFO] EPISODE 2290, LOSS 0.004254319705069065
"2023-05-04 21:12:11,593 [INFO] EPISODE 2300, LOSS 0.0021323366090655327
"2023-05-04 21:12:11,888 [INFO] EPISODE 2310, LOSS 0.0006940951570868492
"2023-05-04 21:12:12,202 [INFO] EPISODE 2320, LOSS 0.005069442093372345
"2023-05-04 21:12:12,503 [INFO] EPISODE 2330, LOSS 0.0034021115861833096
"2023-05-04 21:12:12,870 [INFO] EPISODE 2340, LOSS 0.001532993046566844
"2023-05-04 21:12:13,165 [INFO] EPISODE 2350, LOSS 0.00629517063498497
"2023-05-04 21:12:13,463 [INFO] EPISODE 2360, LOSS 0.016292883083224297
"2023-05-04 21:12:13,817 [INFO] EPISODE 2370, LOSS 0.005618813447654247
"2023-05-04 21:12:14,111 [INFO] EPISODE 2380, LOSS 0.0066893878392875195
"2023-05-04 21:12:14,402 [INFO] EPISODE 2390, LOSS 0.03760308027267456
"2023-05-04 21:12:14,715 [INFO] EPISODE 2400, LOSS 0.005598784890025854
"2023-05-04 21:12:15,009 [INFO] EPISODE 2410, LOSS 0.003499045968055725
"2023-05-04 21:12:15,301 [INFO] EPISODE 2420, LOSS 0.003424466587603092
"2023-05-04 21:12:15,600 [INFO] EPISODE 2430, LOSS 0.016628926619887352
"2023-05-04 21:12:15,919 [INFO] EPISODE 2440, LOSS 0.004003767855465412
