"2023-05-10 15:13:45,712 [INFO] Reporter Initialized!
"2023-05-10 15:13:45,712 [INFO] Reporter LEVEL: info
"2023-05-10 15:13:45,712 [INFO] Usung random data
"2023-05-10 15:13:46,946 [INFO] None
"2023-05-10 15:13:46,946 [INFO] Device(cuda) is working for train
"2023-05-10 15:13:46,946 [INFO] Train Started
"2023-05-10 15:14:07,236 [INFO] EPISODE 1430, LOSS 0.20244768261909485
"2023-05-10 15:14:07,371 [INFO] EPISODE 1440, LOSS 0.15551325678825378
"2023-05-10 15:14:07,504 [INFO] EPISODE 1450, LOSS 0.16290929913520813
"2023-05-10 15:14:07,636 [INFO] EPISODE 1460, LOSS 0.12028008699417114
"2023-05-10 15:14:07,756 [INFO] EPISODE 1470, LOSS 0.10114371031522751
"2023-05-10 15:14:07,883 [INFO] EPISODE 1480, LOSS 0.11349163949489594
"2023-05-10 15:14:08,018 [INFO] EPISODE 1490, LOSS 0.13083873689174652
"2023-05-10 15:14:08,168 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/1500.onnx
"2023-05-10 15:14:08,168 [INFO] EPISODE 1500, LOSS 0.24109922349452972
"2023-05-10 15:14:08,299 [INFO] EPISODE 1510, LOSS 0.22869542241096497
"2023-05-10 15:14:08,432 [INFO] EPISODE 1520, LOSS 0.1565731167793274
"2023-05-10 15:14:08,569 [INFO] EPISODE 1530, LOSS 0.1983303427696228
"2023-05-10 15:14:08,756 [INFO] EPISODE 1540, LOSS 0.1300215721130371
"2023-05-10 15:14:08,889 [INFO] EPISODE 1550, LOSS 0.23222678899765015
"2023-05-10 15:14:09,013 [INFO] EPISODE 1560, LOSS 0.14320024847984314
"2023-05-10 15:14:09,154 [INFO] EPISODE 1570, LOSS 0.1377289593219757
"2023-05-10 15:14:09,289 [INFO] EPISODE 1580, LOSS 0.23165076971054077
"2023-05-10 15:14:09,424 [INFO] EPISODE 1590, LOSS 0.1967199742794037
"2023-05-10 15:14:09,559 [INFO] EPISODE 1600, LOSS 0.13081811368465424
"2023-05-10 15:14:09,694 [INFO] EPISODE 1610, LOSS 0.19711869955062866
"2023-05-10 15:14:09,833 [INFO] EPISODE 1620, LOSS 0.20519189536571503
"2023-05-10 15:14:09,970 [INFO] EPISODE 1630, LOSS 0.1811547875404358
