"2023-05-07 19:28:09,900 [INFO] Reporter Initialized!
"2023-05-07 19:28:09,900 [INFO] Reporter LEVEL: info
"2023-05-07 19:28:10,264 [INFO] Loaded csv data is 0507_0621PM
"2023-05-07 19:28:13,415 [INFO] None
"2023-05-07 19:28:13,415 [INFO] Device(cuda) is working for train
"2023-05-07 19:28:13,415 [INFO] Train Started
"2023-05-07 19:31:47,300 [INFO] EPISODE 1820, LOSS 2525.173095703125
"2023-05-07 19:31:48,689 [INFO] EPISODE 1830, LOSS 2895.548828125
"2023-05-07 19:31:50,156 [INFO] EPISODE 1840, LOSS 4132.09521484375
"2023-05-07 19:31:51,740 [INFO] EPISODE 1850, LOSS 1880.1400146484375
"2023-05-07 19:31:53,165 [INFO] EPISODE 1860, LOSS 3292.2431640625
"2023-05-07 19:31:54,201 [INFO] EPISODE 1870, LOSS 2363.274169921875
"2023-05-07 19:31:55,430 [INFO] EPISODE 1880, LOSS 3473.76904296875
"2023-05-07 19:31:56,620 [INFO] EPISODE 1890, LOSS 1328.9112548828125
"2023-05-07 19:31:57,832 [INFO] EPISODE 1900, LOSS 2227.81787109375
"2023-05-07 19:31:58,839 [INFO] EPISODE 1910, LOSS 3092.2265625
"2023-05-07 19:31:59,955 [INFO] EPISODE 1920, LOSS 3694.052490234375
"2023-05-07 19:32:01,093 [INFO] EPISODE 1930, LOSS 2637.9306640625
"2023-05-07 19:32:02,248 [INFO] EPISODE 1940, LOSS 2156.597412109375
"2023-05-07 19:32:03,413 [INFO] EPISODE 1950, LOSS 2388.499755859375
"2023-05-07 19:32:04,096 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/1955.onnx
"2023-05-07 19:32:04,641 [INFO] EPISODE 1960, LOSS 3289.54638671875
"2023-05-07 19:32:05,732 [INFO] EPISODE 1970, LOSS 1065.2518310546875
"2023-05-07 19:32:06,820 [INFO] EPISODE 1980, LOSS 2360.979736328125
"2023-05-07 19:32:07,966 [INFO] EPISODE 1990, LOSS 3322.210693359375
"2023-05-07 19:32:09,208 [INFO] ===== ONNX SAVED at ./savemodel/0507_0728PM/2000.onnx
"2023-05-07 19:32:09,208 [INFO] EPISODE 2000, LOSS 5200.66943359375
"2023-05-07 19:32:10,213 [INFO] EPISODE 2010, LOSS 14032.146484375
"2023-05-07 19:32:11,292 [INFO] EPISODE 2020, LOSS 3842.61865234375
"2023-05-07 19:32:12,579 [INFO] EPISODE 2030, LOSS 4006.036865234375
"2023-05-07 19:32:13,786 [INFO] EPISODE 2040, LOSS 3615.71630859375
"2023-05-07 19:32:14,791 [INFO] EPISODE 2050, LOSS 2480.014892578125
"2023-05-07 19:32:15,919 [INFO] EPISODE 2060, LOSS 1472.353759765625
"2023-05-07 19:32:17,051 [INFO] EPISODE 2070, LOSS 1416.352294921875
"2023-05-07 19:32:18,239 [INFO] EPISODE 2080, LOSS 3931.4287109375
"2023-05-07 19:32:19,284 [INFO] EPISODE 2090, LOSS 2446.06494140625
"2023-05-07 19:32:20,431 [INFO] EPISODE 2100, LOSS 3221.06005859375
"2023-05-07 19:32:21,572 [INFO] EPISODE 2110, LOSS 1625.974365234375
"2023-05-07 19:32:22,696 [INFO] EPISODE 2120, LOSS 3023.604248046875
"2023-05-07 19:32:23,847 [INFO] EPISODE 2130, LOSS 2635.76220703125
"2023-05-07 19:32:24,963 [INFO] EPISODE 2140, LOSS 1202.45068359375
"2023-05-07 19:32:26,129 [INFO] EPISODE 2150, LOSS 3024.5078125
"2023-05-07 19:32:27,295 [INFO] EPISODE 2160, LOSS 3346.5390625
"2023-05-07 19:32:28,471 [INFO] EPISODE 2170, LOSS 1491.9320068359375
"2023-05-07 19:32:29,638 [INFO] EPISODE 2180, LOSS 2665.9951171875
"2023-05-07 19:32:30,698 [INFO] EPISODE 2190, LOSS 2163.96044921875
"2023-05-07 19:32:31,862 [INFO] EPISODE 2200, LOSS 2833.809326171875
"2023-05-07 19:32:33,060 [INFO] EPISODE 2210, LOSS 1677.9696044921875
"2023-05-07 19:32:34,204 [INFO] EPISODE 2220, LOSS 4051.80419921875
"2023-05-07 19:32:35,342 [INFO] EPISODE 2230, LOSS 3104.29248046875
"2023-05-07 19:32:36,491 [INFO] EPISODE 2240, LOSS 6347.02099609375
"2023-05-07 19:32:37,581 [INFO] EPISODE 2250, LOSS 2698.764404296875
"2023-05-07 19:32:38,701 [INFO] EPISODE 2260, LOSS 3270.772216796875
"2023-05-07 19:32:39,540 [INFO] EPISODE 2270, LOSS 1970.7034912109375
"2023-05-07 19:32:40,629 [INFO] EPISODE 2280, LOSS 5518.6630859375
"2023-05-07 19:32:41,816 [INFO] EPISODE 2290, LOSS 4636.1923828125
"2023-05-07 19:32:42,972 [INFO] EPISODE 2300, LOSS 2756.013427734375
"2023-05-07 19:32:44,156 [INFO] EPISODE 2310, LOSS 1272.835693359375
