"2023-05-04 16:10:22,522 [INFO] Reporter Initialized!
"2023-05-04 16:10:22,522 [INFO] Reporter LEVEL: info
"2023-05-04 16:10:23,954 [INFO] Loaded csv data is 0504_0300PM
"2023-05-04 16:10:25,172 [INFO] None
"2023-05-04 16:10:25,172 [INFO] Device(cuda) is working for train
"2023-05-04 16:10:25,172 [INFO] Train Started
"2023-05-04 16:10:25,186 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/0.onnx
"2023-05-04 16:10:25,186 [INFO] ===== Saved non-trained network
"2023-05-04 16:11:26,859 [INFO] ===== ONNX SAVED at ./savemodel/0504_0410PM/2000.onnx
"2023-05-04 16:11:26,859 [INFO] EPISODE 2000, LOSS 0.00016883717034943402
"2023-05-04 16:11:27,159 [INFO] EPISODE 2010, LOSS 0.0006447661435231566
"2023-05-04 16:11:27,462 [INFO] EPISODE 2020, LOSS 0.00014517692034132779
"2023-05-04 16:11:27,758 [INFO] EPISODE 2030, LOSS 0.0006992368726059794
"2023-05-04 16:11:28,049 [INFO] EPISODE 2040, LOSS 0.0002406584535492584
"2023-05-04 16:11:28,349 [INFO] EPISODE 2050, LOSS 0.00029629975324496627
"2023-05-04 16:11:28,627 [INFO] EPISODE 2060, LOSS 0.0021689864806830883
"2023-05-04 16:11:28,927 [INFO] EPISODE 2070, LOSS 0.002346064429730177
"2023-05-04 16:11:29,211 [INFO] EPISODE 2080, LOSS 0.0008127349428832531
"2023-05-04 16:11:29,510 [INFO] EPISODE 2090, LOSS 0.00018969310622196645
"2023-05-04 16:11:29,791 [INFO] EPISODE 2100, LOSS 0.0010309654753655195
"2023-05-04 16:11:30,114 [INFO] EPISODE 2110, LOSS 0.00015214971790555865
"2023-05-04 16:11:30,398 [INFO] EPISODE 2120, LOSS 0.0002948506153188646
"2023-05-04 16:11:30,743 [INFO] EPISODE 2130, LOSS 0.00013421825133264065
"2023-05-04 16:11:31,051 [INFO] EPISODE 2140, LOSS 0.0003778774698730558
"2023-05-04 16:11:31,335 [INFO] EPISODE 2150, LOSS 0.00020497204968705773
"2023-05-04 16:11:31,613 [INFO] EPISODE 2160, LOSS 0.00047327077481895685
"2023-05-04 16:11:31,891 [INFO] EPISODE 2170, LOSS 0.0001615813234820962
"2023-05-04 16:11:32,220 [INFO] EPISODE 2180, LOSS 0.0007675187080167234
"2023-05-04 16:11:32,498 [INFO] EPISODE 2190, LOSS 0.00038369197864085436
"2023-05-04 16:11:32,777 [INFO] EPISODE 2200, LOSS 0.00020262149337213486
"2023-05-04 16:11:33,067 [INFO] EPISODE 2210, LOSS 0.00042190816020593047
"2023-05-04 16:11:33,367 [INFO] EPISODE 2220, LOSS 8.493397035636008e-05
"2023-05-04 16:11:33,643 [INFO] EPISODE 2230, LOSS 0.00087765883654356
"2023-05-04 16:11:33,920 [INFO] EPISODE 2240, LOSS 0.000278165505733341
"2023-05-04 16:11:34,214 [INFO] EPISODE 2250, LOSS 0.0002361520892009139
"2023-05-04 16:11:34,495 [INFO] EPISODE 2260, LOSS 0.0011563824955374002
"2023-05-04 16:11:34,792 [INFO] EPISODE 2270, LOSS 0.0004381659673526883
"2023-05-04 16:11:35,082 [INFO] EPISODE 2280, LOSS 0.0004364603664726019
